Student ID,Name,Subject Name,Grade,Remarks,Teacher Exp,Attendance (%),Parental Education,Gender,CGPA
1,Student_1,Database Management System,10,2,2,79.96714153011233,Postgraduate,Female,9.318181818181818
1,Student_1,Machine Learning,7,3,3,79.96714153011233,Postgraduate,Female,9.318181818181818
1,Student_1,Design and Analysis of Algorithms,10,1,3,79.96714153011233,Postgraduate,Female,9.318181818181818
1,Student_1,Computer Organization and Architecture,10,3,0,79.96714153011233,Postgraduate,Female,9.318181818181818
1,Student_1,Microprocessor and Microcontroller,9,4,3,79.96714153011233,Postgraduate,Female,9.318181818181818
1,Student_1,Economics for Engineers,9,1,3,79.96714153011233,Postgraduate,Female,9.318181818181818
1,Student_1,Database Management System Laboratory,10,5,1,79.96714153011233,Postgraduate,Female,9.318181818181818
1,Student_1,Machine Learning Laboratory,10,3,3,79.96714153011233,Postgraduate,Female,9.318181818181818
2,Student_2,Database Management System,8,0,2,73.61735698828815,High School,Male,8.454545454545455
2,Student_2,Machine Learning,6,5,1,73.61735698828815,High School,Male,8.454545454545455
2,Student_2,Design and Analysis of Algorithms,10,1,3,73.61735698828815,High School,Male,8.454545454545455
2,Student_2,Computer Organization and Architecture,8,3,0,73.61735698828815,High School,Male,8.454545454545455
2,Student_2,Microprocessor and Microcontroller,10,0,3,73.61735698828815,High School,Male,8.454545454545455
2,Student_2,Economics for Engineers,8,5,1,73.61735698828815,High School,Male,8.454545454545455
2,Student_2,Database Management System Laboratory,9,4,2,73.61735698828815,High School,Male,8.454545454545455
2,Student_2,Machine Learning Laboratory,9,1,1,73.61735698828815,High School,Male,8.454545454545455
3,Student_3,Database Management System,9,5,3,76.72693706525511,Postgraduate,Female,8.590909090909092
3,Student_3,Machine Learning,8,4,3,76.72693706525511,Postgraduate,Female,8.590909090909092
3,Student_3,Design and Analysis of Algorithms,10,3,0,76.72693706525511,Postgraduate,Female,8.590909090909092
3,Student_3,Computer Organization and Architecture,8,0,0,76.72693706525511,Postgraduate,Female,8.590909090909092
3,Student_3,Microprocessor and Microcontroller,8,3,3,76.72693706525511,Postgraduate,Female,8.590909090909092
3,Student_3,Economics for Engineers,8,0,3,76.72693706525511,Postgraduate,Female,8.590909090909092
3,Student_3,Database Management System Laboratory,8,4,1,76.72693706525511,Postgraduate,Female,8.590909090909092
3,Student_3,Machine Learning Laboratory,10,0,3,76.72693706525511,Postgraduate,Female,8.590909090909092
4,Student_4,Database Management System,10,4,2,78.24198767552731,Graduate,Male,8.681818181818182
4,Student_4,Machine Learning,10,2,0,78.24198767552731,Graduate,Male,8.681818181818182
4,Student_4,Design and Analysis of Algorithms,5,2,0,78.24198767552731,Graduate,Male,8.681818181818182
4,Student_4,Computer Organization and Architecture,10,5,2,78.24198767552731,Graduate,Male,8.681818181818182
4,Student_4,Microprocessor and Microcontroller,8,1,1,78.24198767552731,Graduate,Male,8.681818181818182
4,Student_4,Economics for Engineers,10,0,3,78.24198767552731,Graduate,Male,8.681818181818182
4,Student_4,Database Management System Laboratory,8,4,2,78.24198767552731,Graduate,Male,8.681818181818182
